Date,Time,Message,Datetime
2026-03-04,14:02:46,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 14:02)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, יהודה, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-04 14:02:46
2026-03-04,18:54:37,"מבזק פיקוד העורף - התרעה מקדימה  (04/03/2026 18:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-04 18:54:37
2026-03-05,03:55:24,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 03:55)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, בקעה, שומרון, שרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-05 03:55:24
2026-03-05,10:29:06,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 10:29)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, דן, ירקון, שרון, השפלה, שפלת יהודה, יהודה, מערב לכיש, לכיש, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-05 10:29:06
2026-03-05,22:35:19,"מבזק פיקוד העורף - התרעה מקדימה  (05/03/2026 22:35)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-05 22:35:19
2026-03-06,20:40:12,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 20:40)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, יהודה, שפלת יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-06 20:40:12
2026-03-06,21:54:10,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 21:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-06 21:54:10
2026-03-06,21:54:11,"מבזק פיקוד העורף - התרעה מקדימה  (06/03/2026 21:54)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-06 21:54:11
2026-03-07,04:56:46,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 04:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-07 04:56:46
2026-03-07,06:20:13,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 06:20)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-07 06:20:13
2026-03-07,11:23:25,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 11:23)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שומרון, בקעה, שרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-07 11:23:25
2026-03-07,20:30:49,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 20:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-07 20:30:49
2026-03-07,21:46:16,"מבזק פיקוד העורף - התרעה מקדימה  (07/03/2026 21:46)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, יהודה, שפלת יהודה, השפלה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-07 21:46:16
2026-03-08,07:23:40,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 07:23)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-08 07:23:40
2026-03-08,14:22:22,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 14:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, דן, ירקון, השפלה, שרון, יהודה, מערב לכיש, לכיש, שפלת יהודה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-08 14:22:22
2026-03-08,16:39:23,"מבזק פיקוד העורף - התרעה מקדימה  (08/03/2026 16:39)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, שומרון, שרון, דן, ירקון, השפלה, שפלת יהודה, יהודה, מערב לכיש, לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-08 16:39:23
2026-03-09,01:09:28,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 01:09)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעת בית שאן, המפרץ, מנשה, ואדי ערה, הכרמל, גליל עליון, העמקים, צפון הגולן, דרום הגולן, גליל תחתון, מרכז הגליל, קו העימות, לכיש, מערב לכיש, יהודה, שפלת יהודה, דן, ירקון, השפלה, שרון, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-09 01:09:28
2026-03-09,01:28:50,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 01:28)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-09 01:28:50
2026-03-09,16:30:52,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 16:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, בקעה, שרון, דן, ירקון, השפלה, שפלת יהודה, יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-09 16:30:52
2026-03-09,17:56:46,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 17:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-09 17:56:46
2026-03-09,21:34:57,"מבזק פיקוד העורף - התרעה מקדימה  (09/03/2026 21:34)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שומרון, בקעה, שרון, שפלת יהודה, יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-09 21:34:57
2026-03-10,09:56:39,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 09:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, יהודה, שפלת יהודה, שרון, דן, ירקון, השפלה, שומרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-10 09:56:39
2026-03-10,17:08:09,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 17:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-10 17:08:09
2026-03-10,17:08:10,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 17:08)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, דן, ירקון, השפלה, ירושלים, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-10 17:08:10
2026-03-10,23:32:11,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 23:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-10 23:32:11
2026-03-10,23:32:11,"מבזק פיקוד העורף - התרעה מקדימה  (10/03/2026 23:32)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, ירקון, דן, שרון, השפלה, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-10 23:32:11
2026-03-11,00:49:40,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 00:49)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, ירקון, דן, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-11 00:49:40
2026-03-11,19:38:55,"מבזק פיקוד העורף - התרעה מקדימה  (11/03/2026 19:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, השפלה, ירקון, דן, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-11 19:38:55
2026-03-12,00:30:57,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 00:30)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, מערב לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, בקעה, שומרון, שרון, ירושלים, מרכז הנגב, מערב הנגב, עוטף עזה, דרום הנגב, ערבה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-12 00:30:57
2026-03-12,09:22:22,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 09:22)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, מערב לכיש, לכיש, שפלת יהודה, יהודה, שרון, השפלה, ירקון, דן, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-12 09:22:22
2026-03-12,21:38:36,"מבזק פיקוד העורף - התרעה מקדימה  (12/03/2026 21:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, יהודה, דן, ירקון, השפלה, שרון, שומרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-12 21:38:36
2026-03-13,13:27:04,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 13:27)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, שומרון, שרון, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-13 13:27:04
2026-03-13,23:16:26,"מבזק פיקוד העורף - התרעה מקדימה  (13/03/2026 23:16)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ערבה, ים המלח, דרום הנגב, מערב הנגב, מרכז הנגב, יהודה, דן, ירקון, השפלה, שפלת יהודה, לכיש, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-13 23:16:26
2026-03-14,16:29:47,"מבזק פיקוד העורף - התרעה מקדימה  (14/03/2026 16:29)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, שפלת יהודה, שומרון, דן, ירקון, השפלה, בקעה, שרון, עוטף עזה, יהודה, ים המלח, ערבה, דרום הנגב, מערב הנגב, מרכז הנגב, מערב לכיש, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-14 16:29:47
2026-03-15,05:36:06,"מבזק פיקוד העורף - התרעה מקדימה  (15/03/2026 05:36)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שרון, מערב לכיש, בקעה, שומרון, שפלת יהודה, לכיש, דן, ירקון, השפלה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-15 05:36:06
2026-03-17,13:51:23,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 13:51)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים לכיש, שפלת יהודה, שומרון, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-17 13:51:23
2026-03-17,15:25:16,"מבזק פיקוד העורף - התרעה מקדימה  (17/03/2026 15:25)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שפלת יהודה, לכיש, שומרון, דן, ירקון, השפלה, יהודה, ים המלח, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-17 15:25:16
2026-03-18,04:33:06,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 04:33)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, לכיש, דן, ירקון, השפלה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-18 04:33:06
2026-03-18,07:56:14,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 07:56)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, דן, ירקון, השפלה, שפלת יהודה, לכיש, בקעה, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-18 07:56:14
2026-03-18,11:04:47,"מבזק פיקוד העורף - התרעה מקדימה  (18/03/2026 11:04)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים המפרץ, הכרמל, דרום הגולן, גליל עליון, העמקים, מרכז הגליל, גליל תחתון, דן, ירקון, השפלה, שרון, קו העימות לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-18 11:04:47
2026-03-19,11:39:36,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 11:39)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, שפלת יהודה, לכיש, שומרון, דן, ירקון, השפלה, ירושלים, יהודה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-19 11:39:36
2026-03-19,16:44:21,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 16:44)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים יהודה, ים המלח, מערב לכיש, לכיש, שפלת יהודה, שומרון, ירושלים, דן, ירקון, השפלה, המפרץ, הכרמל, צפון הגולן, דרום הגולן, מנשה, ואדי ערה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-19 16:44:21
2026-03-19,16:44:23,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 16:44)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים יהודה, ים המלח, מערב לכיש, לכיש, שפלת יהודה, שומרון, ירושלים, דן, ירקון, השפלה, המפרץ, הכרמל, צפון הגולן, דרום הגולן, מנשה, ואדי ערה, העמקים, גליל עליון, מרכז הגליל, גליל תחתון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-19 16:44:23
2026-03-19,22:41:50,"מבזק פיקוד העורף - התרעה מקדימה  (19/03/2026 22:41)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים בקעה, לכיש, שפלת יהודה, דן, ירקון, השפלה, יהודה, ים המלח, שומרון, ירושלים, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-19 22:41:50
2026-03-20,08:43:32,"מבזק פיקוד העורף - התרעה מקדימה  (20/03/2026 08:43)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, לכיש, דן, ירקון, השפלה, מערב לכיש, ירושלים, שומרון, יהודה, ים המלח לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-20 08:43:32
2026-03-20,10:38:07,"מבזק פיקוד העורף - התרעה מקדימה  (20/03/2026 10:38)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים יהודה, ים המלח, שפלת יהודה, לכיש, ירושלים, השפלה, ירקון, דן, בקעה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-20 10:38:07
2026-03-20,10:50:49,"מבזק פיקוד העורף - התרעה מקדימה  (20/03/2026 10:50)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, שומרון, ירושלים, יהודה, ים המלח, שפלת יהודה, לכיש, מערב לכיש לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-20 10:50:49
2026-03-20,13:10:50,"מבזק פיקוד העורף - התרעה מקדימה  (20/03/2026 13:10)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, שפלת יהודה, לכיש, דן, ירקון, יהודה, ים המלח, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-20 13:10:50
2026-03-20,13:10:52,"מבזק פיקוד העורף - התרעה מקדימה  (20/03/2026 13:10)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, שפלת יהודה, לכיש, דן, ירקון, יהודה, ים המלח, השפלה, שומרון לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-20 13:10:52
2026-03-20,13:10:53,"מבזק פיקוד העורף - התרעה מקדימה  (20/03/2026 13:10)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, שפלת יהודה, לכיש, דן, ירקון, יהודה, ים המלח, השפלה, שומרון, ירושלים, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-20 13:10:53
2026-03-21,03:16:06,"מבזק פיקוד העורף - התרעה מקדימה  (21/03/2026 03:16)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מרכז הנגב, מערב הנגב, דרום הנגב, ערבה, ים המלח, יהודה, ירושלים, מערב לכיש, לכיש, שפלת יהודה, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-21 03:16:06
2026-03-21,08:24:47,"מבזק פיקוד העורף - התרעה מקדימה  (21/03/2026 08:24)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים דן, ירקון, השפלה, לכיש, שפלת יהודה, שומרון, שרון, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-21 08:24:47
2026-03-22,07:01:31,"מבזק פיקוד העורף - התרעה מקדימה  (22/03/2026 07:01)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שפלת יהודה, לכיש, שרון, שומרון, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-22 07:01:31
2026-03-22,07:48:02,"מבזק פיקוד העורף - התרעה מקדימה  (22/03/2026 07:48)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים מערב לכיש, דן, ירקון, השפלה, שפלת יהודה, לכיש, ירושלים, יהודה, ים המלח, עוטף עזה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-22 07:48:02
2026-03-24,01:03:34,"מבזק פיקוד העורף - התרעה מקדימה  (24/03/2026 01:03)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים עוטף עזה, ירושלים, יהודה, ים המלח, מערב לכיש, שפלת יהודה, לכיש, דן, ירקון, השפלה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-24 01:03:34
2026-03-24,23:44:45,"מבזק פיקוד העורף - התרעה מקדימה  (24/03/2026 23:44)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים ירושלים, שומרון, שפלת יהודה, לכיש, דן, ירקון, השפלה, יהודה, ים המלח, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-24 23:44:45
2026-03-25,10:42:40,"מבזק פיקוד העורף - התרעה מקדימה  (25/03/2026 10:42)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים המפרץ, הכרמל, שומרון, שרון, גליל עליון, העמקים, מרכז הגליל, דרום הגולן, גליל תחתון, ואדי ערה, מנשה, שפלת יהודה, לכיש, ירושלים, דן, ירקון, השפלה, בקעה לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-25 10:42:40
2026-03-26,06:49:12,"מבזק פיקוד העורף - התרעה מקדימה  (26/03/2026 06:49)  בעקבות זיהוי שיגורים, בדקות הקרובות צפויות להתקבל התרעות באזורים שומרון, דן, ירקון, השפלה, בקעה, שפלת יהודה, לכיש, ירושלים לרשימת הישובים המלאה  צופר - צבע אדום",2026-03-26 06:49:12
